Title,Rating,Genres,Tags,Url
Hansel & Gretel: Witch Hunters (2013) ,6.1,"Action, Fantasy, Horror            ","['brother sister team', 'brother sister relationship', 'female rear nudity', 'witch', 'bounty hunter']",https://www.imdb.com//title/tt1428538/
The Wicker Man (1973) ,7.5,"Horror, Mystery, Thriller            ","['paganism', 'religious sacrifice', 'disappearance', 'folk horror', 'island community']",https://www.imdb.com//title/tt0070917/
Vivarium (2019) ,5.8,"Comedy, Horror, Mystery            ","['psychological torture', 'supernatural prison', 'rapidly growing child', 'digging', 'abducted couple']",https://www.imdb.com//title/tt8368406/
The Purge (I) (2013) ,5.7,"Horror, Thriller            ","['violence', 'one night', 'killing spree', 'class differences', 'knife']",https://www.imdb.com//title/tt2184339/
Color Out of Space (2019) ,6.2,"Horror, Mystery, Sci-Fi            ","['meteorite', 'farm', 'psychotronic film', 'farmhouse', 'alien invasion']",https://www.imdb.com//title/tt5073642/
Evil Dead (2013) ,6.5,"Fantasy, Horror, Thriller            ","['demon', 'forest', 'zombie', 'fear', 'nurse']",https://www.imdb.com//title/tt1288558/
Salò o le 120 giornate di Sodoma (1975) ,5.9,"Drama, Horror, War            ","['banned film', 'voyeur', 'sexual torture', 'sexual cruelty', 'masturbation']",https://www.imdb.com//title/tt0073650/
Don't Breathe (2016) ,7.1,"Crime, Horror, Thriller            ","['blind man', 'death of daughter', 'robbery gone awry', 'breaking and entering', 'trapped in a house']",https://www.imdb.com//title/tt4160708/
28 Days Later... (2002) ,7.6,"Drama, Horror, Sci-Fi            ","['virus', 'military', 'london england', 'zombie apocalypse', 'laboratory']",https://www.imdb.com//title/tt0289043/
Hellboy (2019) ,5.2,"Action, Adventure, Fantasy            ","['demon', 'based on comic', 'superhero', 'magic', 'sorceress']",https://www.imdb.com//title/tt2274648/
The Dark Tower (2017) ,5.6,"Action, Adventure, Fantasy            ","['based on novel', 'prophetic dream', 'another world', 'parallel dimension', 'dimensional portal']",https://www.imdb.com//title/tt1648190/
The Ring (2002) ,7.1,"Horror, Mystery            ","['whitewash', 'mini skirt', 'girl in panties', 'cleavage', 'ghost']",https://www.imdb.com//title/tt0298130/
Morbius (2021) ,None,"Action, Adventure, Drama            ","['based on comic', 'marvel comics', 'superhero', 'vampire', 'blood']",https://www.imdb.com//title/tt5108870/
Tremors (1990) ,7.1,"Comedy, Horror            ","['desert', 'giant worm', 'stranded on rooftop', 'monster', 'first part']",https://www.imdb.com//title/tt0100814/
Gretel & Hansel (2020) ,5.3,"Fantasy, Horror, Mystery            ","['fairy tale', 'folk horror', 'reimagining', 'evil', 'woods']",https://www.imdb.com//title/tt9086228/
Sweeney Todd: The Demon Barber of Fleet Street (2007) ,7.3,"Drama, Horror, Musical            ","['razor', 'based on stage musical', 'serial killer', 'barbershop', 'throat slitting']",https://www.imdb.com//title/tt0408236/
An American Werewolf in London (1981) ,7.5,"Comedy, Horror            ","['werewolf', 'college student', 'american', 'nurse', 'full moon']",https://www.imdb.com//title/tt0082010/
The Blair Witch Project (1999) ,6.5,"Horror, Mystery            ","['found footage', 'lost in the woods', 'supernatural horror', 'ghost story', 'maryland']",https://www.imdb.com//title/tt0185937/
Dark Shadows (2012) ,6.2,"Comedy, Fantasy, Horror            ","['vampire', 'camera shot of feet', 'foot closeup', 'female stockinged soles', 'female stockinged feet']",https://www.imdb.com//title/tt1077368/
Blade (1998) ,7.1,"Action, Horror, Sci-Fi            ","['vampire', 'vampire hunter', 'revenge', '1990s', 'stylized violence']",https://www.imdb.com//title/tt0120611/
The Conjuring 2 (2016) ,7.3,"Horror, Mystery, Thriller            ","['haunted house', 'second part', 'house', 'single mother', 'psychic']",https://www.imdb.com//title/tt3065204/
